0 5
0 12
0 18
0 19
1 3
1 4
1 5
1 10
1 12
1 21
1 25
2 9
2 14
2 21
2 23
3 8
3 16
3 20
3 23
3 24
4 6
4 11
4 14
4 26
5 18
5 28
6 13
6 17
6 20
6 21
6 23
6 24
6 26
6 28
7 12
7 14
7 16
7 20
7 29
8 9
8 20
8 22
8 23
8 24
8 27
8 29
9 13
9 17
9 22
9 23
10 12
10 13
10 16
10 18
10 20
10 21
10 28
10 29
11 23
11 29
12 17
12 19
12 21
12 24
12 25
12 26
13 26
13 27
14 16
14 19
14 22
14 24
14 25
15 18
15 20
15 22
16 20
16 24
16 26
17 18
18 21
18 25
18 26
19 22
19 29
20 24
20 26
20 27
21 23
21 27
21 28
22 25
22 29
24 29
25 27
25 28
25 29
26 27
26 28
28 29
